"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
"    Percent","49.7%","50.3%","(X)","67.9%","2.8%","0.1%","11.1%","2.3%","0.2%","5.1%","13.0%"
" -> Ocean County, New Jersey","","","","","","","","","","",""
"    Estimate","320,777","338,420","41.1","548,494","15,050","3,049","13,319","1,008","302","24,339","54,946"
"    Percent","48.7%","51.3%","(X)","83.2%","2.3%","0.5%","2.0%","0.2%","0.0%","3.7%","8.3%"
" -> Passaic County, New Jersey","","","","","","","","","","",""
"    Estimate","251,966","261,429","38.3","210,807","52,876","2,505","28,838","2,651","197","99,927","118,266"
"    Percent","49.1%","50.9%","(X)","41.1%","10.3%","0.5%","5.6%","0.5%","0.0%","19.5%","23.0%"
" -> Salem County, New Jersey","","","","","","","","","","",""
"    Estimate","30,288","35,050","42.4","47,108","8,773","0","357","N","N","2,816","6,111"
"    Percent","46.4%","53.6%","(X)","72.1%","13.4%","0.0%","0.5%","N","N","4.3%","9.4%"
" -> Somerset County, New Jersey","","","","","","","","","","",""
"    Estimate","171,929","176,913","41.9","173,995","33,543","864","70,465","15,066","131","32,176","37,745"
"    Percent","49.3%","50.7%","(X)","49.9%","9.6%","0.2%","20.2%","4.3%","0.0%","9.2%","10.8%"
" -> Sussex County, New Jersey","","","","","","","","","","",""
"    Estimate","73,941","72,191","43.2","118,584","4,487","1,048","3,915","381","56","6,342","11,756"
"    Percent","50.6%","49.4%","(X)","81.1%","3.1%","0.7%","2.7%","0.3%","0.0%","4.3%","8.0%"
" -> Union County, New Jersey","","","","","","","","","","",""
"    Estimate","283,090","289,636","39.5","223,137","116,044","4,330","33,816","5,433","696","121,873","73,260"
"    Percent","49.4%","50.6%","(X)","39.0%","20.3%","0.8%","5.9%","0.9%","0.1%","21.3%","12.8%"
" -> Warren County, New Jersey","","","","","","","","","","",""
"    Estimate","55,386","55,866","44.6","85,143","5,726","1,791","3,500","N","N","6,234","8,858"
"    Percent","49.8%","50.2%","(X)","76.5%","5.1%","1.6%","3.1%","N","N","5.6%","8.0%"
" -> Bernalillo County, New Mexico","","","","","","","","","","",""
"    Estimate","330,981","340,605","39.8","328,347","21,913","33,565","20,582","4,443","1,157","95,896","170,136"
"    Percent","49.3%","50.7%","(X)","48.9%","3.3%","5.0%","3.1%","0.7%","0.2%","14.3%","25.3%"
" -> Doña Ana County, New Mexico","","","","","","","","","","",""
"    Estimate","112,423","112,787","34.8","90,407","2,639","2,780","2,779","627","0","42,164","84,372"
"    Percent","49.9%","50.1%","(X)","40.1%","1.2%","1.2%","1.2%","0.3%","0.0%","18.7%","37.5%"
" -> Lea County, New Mexico","","","","","","","","","","",""
"    Estimate","37,424","34,677","33.5","33,535","1,466","522","1,341","N","N","11,280","23,893"
"    Percent","51.9%","48.1%","(X)","46.5%","2.0%","0.7%","1.9%","N","N","15.6%","33.1%"
" -> McKinley County, New Mexico","","","","","","","","","","",""
"    Estimate","32,700","36,097","35.0","6,493","168","53,263","885","N","N","3,751","3,978"
"    Percent","47.5%","52.5%","(X)","9.4%","0.2%","77.4%","1.3%","N","N","5.5%","5.8%"
" -> Otero County, New Mexico","","","","","","","","","","",""
"    Estimate","35,602","33,233","36.7","37,836","2,430","4,255","1,377","N","N","7,598","15,050"
"    Percent","51.7%","48.3%","(X)","55.0%","3.5%","6.2%","2.0%","N","N","11.0%","21.9%"
" -> Sandoval County, New Mexico","","","","","","","","","","",""
"    Estimate","76,992","78,944","40.8","77,962","3,705","17,946","2,316","N","N","13,830","39,732"
"    Percent","49.4%","50.6%","(X)","50.0%","2.4%","11.5%","1.5%","N","N","8.9%","25.5%"
" -> San Juan County, New Mexico","","","","","","","","","","",""
"    Estimate","59,468","61,207","38.3","49,999","761","48,256","942","N","N","8,052","12,665"
"    Percent","49.3%","50.7%","(X)","41.4%","0.6%","40.0%","0.8%","N","N","6.7%","10.5%"
" -> Santa Fe County, New Mexico","","","","","","","","","","",""
"    Estimate","75,893","80,063","49.3","85,205","1,181","4,333","1,763","344","196","13,715","49,534"
"    Percent","48.7%","51.3%","(X)","54.6%","0.8%","2.8%","1.1%","0.2%","0.1%","8.8%","31.8%"
" -> Valencia County, New Mexico","","","","","","","","","","",""
"    Estimate","39,150","39,991","40.4","37,274","1,044","2,772","612","N","N","6,616","30,447"
"    Percent","49.5%","50.5%","(X)","47.1%","1.3%","3.5%","0.8%","N","N","8.4%","38.5%"
" -> Albany County, New York","","","","","","","","","","",""
"    Estimate","153,503","163,156","38.9","216,669","37,541","426","24,413","5,100","341","9,663","27,788"
"    Percent","48.5%","51.5%","(X)","68.4%","11.9%","0.1%","7.7%","1.6%","0.1%","3.1%","8.8%"
" -> Bronx County, New York","","","","","","","","","","",""
"    Estimate","641,290","715,186","36.7","169,137","456,691","24,346","58,254","6,493","389","454,274","191,949"
"    Percent","47.3%","52.7%","(X)","12.5%","33.7%","1.8%","4.3%","0.5%","0.0%","33.5%","14.2%"
" -> Broome County, New York","","","","","","","","","","",""
"    Estimate","97,081","98,996","38.5","157,587","10,576","47","10,996","1,761","338","3,381","13,402"
"    Percent","49.5%","50.5%","(X)","80.4%","5.4%","0.0%","5.6%","0.9%","0.2%","1.7%","6.8%"
" -> Cattaraugus County, New York","","","","","","","","","","",""
"    Estimate","37,322","38,278","42.5","66,753","785","1,891","517","N","N","675","4,979"
"    Percent","49.4%","50.6%","(X)","88.3%","1.0%","2.5%","0.7%","N","N","0.9%","6.6%"
" -> Cayuga County, New York","","","","","","","","","","",""
"    Estimate","38,028","36,457","44.0","64,911","2,604","144","510","N","N","1,204","5,112"
"    Percent","51.1%","48.9%","(X)","87.1%","3.5%","0.2%","0.7%","N","N","1.6%","6.9%"
" -> Chautauqua County, New York","","","","","","","","","","",""
"    Estimate","61,447","63,444","43.0","107,867","3,972","69","540","N","N","4,063","8,380"
"    Percent","49.2%","50.8%","(X)","86.4%","3.2%","0.1%","0.4%","N","N","3.3%","6.7%"
" -> Chemung County, New York","","","","","","","","","","",""
"    Estimate","40,643","40,682","42.5","70,199","6,342","62","1,325","256","0","436","2,961"
"    Percent","50.0%","50.0%","(X)","86.3%","7.8%","0.1%","1.6%","0.3%","0.0%","0.5%","3.6%"
" -> Clinton County, New York","","","","","","","","","","",""
"    Estimate","39,609","38,506","43.2","70,170","1,646","180","662","N","N","1,329","4,128"
"    Percent","50.7%","49.3%","(X)","89.8%","2.1%","0.2%","0.8%","N","N","1.7%","5.3%"
" -> Dutchess County, New York","","","","","","","","","","",""
"    Estimate","147,016","150,134","42.3","203,536","27,128","3,184","10,659","4,132","366","16,936","35,604"
"    Percent","49.5%","50.5%","(X)","68.5%","9.1%","1.1%","3.6%","1.4%","0.1%","5.7%","12.0%"
" -> Erie County, New York","","","","","","","","","","",""
"    Estimate","460,298","485,849","40.7","693,692","119,338","3,420","47,915","8,562","104","22,607","58,892"
"    Percent","48.6%","51.4%","(X)","73.3%","12.6%","0.4%","5.1%","0.9%","0.0%","2.4%","6.2%"
" -> Jefferson County, New York","","","","","","","","","","",""
"    Estimate","60,377","54,410","34.1","93,498","4,509","1,449","2,565","301","20","3,136","9,483"
"    Percent","52.6%","47.4%","(X)","81.5%","3.9%","1.3%","2.2%","0.3%","0.0%","2.7%","8.3%"
" -> Kings County, New York","","","","","","","","","","",""
"    Estimate","1,219,299","1,341,926","37.0","974,518","700,998","15,410","316,163","186,967","5,108","271,684","281,377"
"    Percent","47.6%","52.4%","(X)","38.0%","27.4%","0.6%","12.3%","7.3%","0.2%","10.6%","11.0%"
" -> Madison County, New York","","","","","","","","","","",""
"    Estimate","32,983","33,938","42.1","61,365","1,209","124","863","N","N","544","2,816"
"    Percent","49.3%","50.7%","(X)","91.7%","1.8%","0.2%","1.3%","N","N","0.8%","4.2%"
" -> Monroe County, New York","","","","","","","","","","",""
"    Estimate","363,058","385,424","39.8","521,031","107,949","1,038","27,930","5,953","523","30,592","59,363"
"    Percent","48.5%","51.5%","(X)","69.6%","14.4%","0.1%","3.7%","0.8%","0.1%","4.1%","7.9%"
" -> Nassau County, New York","","","","","","","","","","",""
"    Estimate","680,445","701,270","42.4","773,941","156,129","2,194","172,055","49,354","1,660","121,665","155,621"
"    Percent","49.2%","50.8%","(X)","56.0%","11.3%","0.2%","12.5%","3.6%","0.1%","8.8%","11.3%"
" -> New York County, New York","","","","","","","","","","",""
"    Estimate","761,219","836,232","39.3","771,461","221,769","5,818","202,421","101,000","10,930","183,482","212,257"
"    Percent","47.7%","52.3%","(X)","48.3%","13.9%","0.4%","12.7%","6.3%","0.7%","11.5%","13.3%"
" -> Niagara County, New York","","","","","","","","","","",""
"    Estimate","102,962","106,495","43.4","171,675","14,144","1,312","3,089","N","N","3,129","16,108"
"    Percent","49.2%","50.8%","(X)","82.0%","6.8%","0.6%","1.5%","N","N","1.5%","7.7%"
" -> Oneida County, New York","","","","","","","","","","",""
"    Estimate","114,001","113,554","41.2","180,914","11,738","151","9,639","321","71","9,715","15,398"
"    Percent","50.1%","49.9%","(X)","79.5%","5.2%","0.1%","4.2%","0.1%","0.0%","4.3%","6.8%"
" -> Onondaga County, New York","","","","","","","","","","",""
"    Estimate","227,082","240,791","39.8","351,746","51,448","3,160","18,559","2,817","89","8,626","33,785"
"    Percent","48.5%","51.5%","(X)","75.2%","11.0%","0.7%","4.0%","0.6%","0.0%","1.8%","7.2%"
" -> Ontario County, New York","","","","","","","","","","",""
"    Estimate","55,763","56,731","45.8","99,063","3,070","74","1,635","N","N","2,024","6,628"
"    Percent","49.6%","50.4%","(X)","88.1%","2.7%","0.1%","1.5%","N","N","1.8%","5.9%"
" -> Orange County, New York","","","","","","","","","","",""
"    Estimate","204,450","203,020","37.0","246,741","48,399","11,671","12,066","5,028","80","41,314","47,279"
"    Percent","50.2%","49.8%","(X)","60.6%","11.9%","2.9%","3.0%","1.2%","0.0%","10.1%","11.6%"
" -> Oswego County, New York","","","","","","","","","","",""
"    Estimate","59,268","58,894","40.7","109,658","1,695","155","857","N","N","877","4,860"
"    Percent","50.2%","49.8%","(X)","92.8%","1.4%","0.1%","0.7%","N","N","0.7%","4.1%"
" -> Putnam County, New York","","","","","","","","","","",""
"    Estimate","48,102","49,958","44.3","71,681","2,146","50","2,353","530","54","9,522","12,308"
"    Percent","49.1%","50.9%","(X)","73.1%","2.2%","0.1%","2.4%","0.5%","0.1%","9.7%","12.6%"
" -> Queens County, New York","","","","","","","","","","",""
"    Estimate","1,099,010","1,153,186","41.3","580,646","389,884","24,972","590,801","253,277","4,881","377,765","286,362"
"    Percent","48.8%","51.2%","(X)","25.8%","17.3%","1.1%","26.2%","11.2%","0.2%","16.8%","12.7%"
" -> Rensselaer County, New York","","","","","","","","","","",""
"    Estimate","79,680","79,625","40.3","127,628","9,474","327","4,355","1,412","21","4,670","12,700"
"    Percent","50.0%","50.0%","(X)","80.1%","5.9%","0.2%","2.7%","0.9%","0.0%","2.9%","8.0%"
" -> Richmond County, New York","","","","","","","","","","",""
"    Estimate","240,115","250,572","40.7","284,690","47,736","4,092","69,550","46,151","321","25,910","58,709"
"    Percent","48.9%","51.1%","(X)","58.0%","9.7%","0.8%","14.2%","9.4%","0.1%","5.3%","12.0%"
" -> Rockland County, New York","","","","","","","","","","",""
"    Estimate","169,866","170,941","34.7","210,035","35,473","2,205","19,931","4,092","41","43,155","29,954"
"    Percent","49.8%","50.2%","(X)","61.6%","10.4%","0.6%","5.8%","1.2%","0.0%","12.7%","8.8%"
" -> St. Lawrence County, New York","","","","","","","","","","",""
"    Estimate","54,264","52,676","39.9","98,134","1,804","493","1,463","N","N","717","4,329"
"    Percent","50.7%","49.3%","(X)","91.8%","1.7%","0.5%","1.4%","N","N","0.7%","4.0%"
" -> Saratoga County, New York","","","","","","","","","","",""
"    Estimate","118,199","120,512","43.9","209,403","4,908","969","5,072","1,360","109","3,382","14,729"
"    Percent","49.5%","50.5%","(X)","87.7%","2.1%","0.4%","2.1%","0.6%","0.0%","1.4%","6.2%"
" -> Schenectady County, New York","","","","","","","","","","",""
"    Estimate","78,509","81,393","38.8","108,448","18,037","718","5,933","1,760","0","8,948","17,818"
"    Percent","49.1%","50.9%","(X)","67.8%","11.3%","0.4%","3.7%","1.1%","0.0%","5.6%","11.1%"
" -> Steuben County, New York","","","","","","","","","","",""
"    Estimate","45,343","46,819","43.7","84,334","2,727","40","1,329","N","N","433","3,299"
"    Percent","49.2%","50.8%","(X)","91.5%","3.0%","0.0%","1.4%","N","N","0.5%","3.6%"
" -> Suffolk County, New York","","","","","","","","","","",""
"    Estimate","755,531","767,639","42.1","978,883","118,221","4,842","72,232","16,546","811","164,649","184,139"
"    Percent","49.6%","50.4%","(X)","64.3%","7.8%","0.3%","4.7%","1.1%","0.1%","10.8%","12.1%"
" -> Sullivan County, New York","","","","","","","","","","",""
"    Estimate","41,980","37,940","41.5","54,019","8,488","126","1,707","N","N","5,627","9,953"
"    Percent","52.5%","47.5%","(X)","67.6%","10.6%","0.2%","2.1%","N","N","7.0%","12.5%"
" -> Tompkins County, New York","","","","","","","","","","",""
"    Estimate","50,604","52,954","32.2","76,818","4,221","153","11,214","2,194","474","3,071","7,989"
"    Percent","48.9%","51.1%","(X)","74.2%","4.1%","0.1%","10.8%","2.1%","0.5%","3.0%","7.7%"
" -> Ulster County, New York","","","","","","","","","","",""
"    Estimate","90,478","91,855","44.3","138,006","11,696","2,606","3,924","1,568","144","9,179","16,922"
"    Percent","49.6%","50.4%","(X)","75.7%","6.4%","1.4%","2.2%","0.9%","0.1%","5.0%","9.3%"
" -> Warren County, New York","","","","","","","","","","",""
"    Estimate","32,037","33,343","46.9","60,971","385","42","719","N","N","636","2,627"
"    Percent","49.0%","51.0%","(X)","93.3%","0.6%","0.1%","1.1%","N","N","1.0%","4.0%"
" -> Wayne County, New York","","","","","","","","","","",""
"    Estimate","45,543","45,286","43.6","80,005","1,723","257","746","N","N","1,855","6,028"
"    Percent","50.1%","49.9%","(X)","88.1%","1.9%","0.3%","0.8%","N","N","2.0%","6.6%"
" -> Westchester County, New York","","","","","","","","","","",""
"    Estimate","483,190","507,627","42.2","517,726","132,346","9,205","62,302","15,206","4,145","141,543","127,242"
"    Percent","48.8%","51.2%","(X)","52.3%","13.4%","0.9%","6.3%","1.5%","0.4%","14.3%","12.8%"
" -> Alamance County, North Carolina","","","","","","","","","","",""
"    Estimate","87,140","92,025","39.4","104,830","36,910","1,089","3,291","N","N","18,300","14,745"
"    Percent","48.6%","51.4%","(X)","58.5%","20.6%","0.6%","1.8%","N","N","10.2%","8.2%"
" -> Brunswick County, North Carolina","","","","","","","","","","",""
"    Estimate","77,883","82,081","57.6","130,646","13,701","469","1,143","N","N","4,502","9,503"
"    Percent","48.7%","51.3%","(X)","81.7%","8.6%","0.3%","0.7%","N","N","2.8%","5.9%"
" -> Buncombe County, North Carolina","","","","","","","","","","",""
"    Estimate","133,597","142,304","42.7","225,024","12,448","826","3,393","838","109","2,747","31,269"
"    Percent","48.4%","51.6%","(X)","81.6%","4.5%","0.3%","1.2%","0.3%","0.0%","1.0%","11.3%"
" -> Burke County, North Carolina","","","","","","","","","","",""
"    Estimate","44,025","44,313","45.2","70,693","4,374","98","3,178","N","N","4,827","5,168"
"    Percent","49.8%","50.2%","(X)","80.0%","5.0%","0.1%","3.6%","N","N","5.5%","5.9%"
" -> Cabarrus County, North Carolina","","","","","","","","","","",""
"    Estimate","119,901","120,115","38.1","136,157","47,039","694","16,109","198","138","17,517","22,500"
"    Percent","50.0%","50.0%","(X)","56.7%","19.6%","0.3%","6.7%","0.1%","0.1%","7.3%","9.4%"
" -> Caldwell County, North Carolina","","","","","","","","","","",""
"    Estimate","40,567","40,007","45.8","69,433","3,340","195","536","N","N","3,192","3,878"
"    Percent","50.3%","49.7%","(X)","86.2%","4.1%","0.2%","0.7%","N","N","4.0%","4.8%"
" -> Carteret County, North Carolina","","","","","","","","","","",""
"    Estimate","34,932","34,683","50.4","59,920","3,950","48","325","N","N","1,498","3,874"
"    Percent","50.2%","49.8%","(X)","86.1%","5.7%","0.1%","0.5%","N","N","2.2%","5.6%"
" -> Catawba County, North Carolina","","","","","","","","","","",""
"    Estimate","80,289","84,356","42.4","122,895","14,539","387","7,830","N","N","7,513","11,336"
"    Percent","48.8%","51.2%","(X)","74.6%","8.8%","0.2%","4.8%","N","N","4.6%","6.9%"
" -> Chatham County, North Carolina","","","","","","","","","","",""
"    Estimate","39,474","42,150","47.9","58,410","9,140","34","2,276","N","N","6,637","5,127"
"    Percent","48.4%","51.6%","(X)","71.6%","11.2%","0.0%","2.8%","N","N","8.1%","6.3%"
" -> Cleveland County, North Carolina","","","","","","","","","","",""
"    Estimate","49,075","52,303","42.6","72,991","17,409","761","1,211","N","N","2,735","6,271"
"    Percent","48.4%","51.6%","(X)","72.0%","17.2%","0.8%","1.2%","N","N","2.7%","6.2%"
" -> Craven County, North Carolina","","","","","","","","","","",""
"    Estimate","51,272","51,119","39.0","66,786","18,044","64","3,221","N","N","4,023","10,239"
"    Percent","50.1%","49.9%","(X)","65.2%","17.6%","0.1%","3.1%","N","N","3.9%","10.0%"
" -> Cumberland County, North Carolina","","","","","","","","","","",""
"    Estimate","167,163","170,727","32.1","144,695","126,319","4,162","10,467","961","262","14,988","36,227"
"    Percent","49.5%","50.5%","(X)","42.8%","37.4%","1.2%","3.1%","0.3%","0.1%","4.4%","10.7%"
" -> Davidson County, North Carolina","","","","","","","","","","",""
"    Estimate","85,506","89,298","42.4","132,623","14,555","343","2,686","N","N","9,021","15,576"
"    Percent","48.9%","51.1%","(X)","75.9%","8.3%","0.2%","1.5%","N","N","5.2%","8.9%"
" -> Durham County, North Carolina","","","","","","","","","","",""
"    Estimate","162,801","174,091","36.0","145,448","107,365","2,420","16,953","5,403","576","34,708","29,932"
"    Percent","48.3%","51.7%","(X)","43.2%","31.9%","0.7%","5.0%","1.6%","0.2%","10.3%","8.9%"
" -> Forsyth County, North Carolina","","","","","","","","","","",""
"    Estimate","186,353","206,568","37.8","217,004","102,367","1,155","9,296","2,429","129","30,943","31,944"
"    Percent","47.4%","52.6%","(X)","55.2%","26.1%","0.3%","2.4%","0.6%","0.0%","7.9%","8.1%"
" -> Franklin County, North Carolina","","","","","","","","","","",""
"    Estimate","38,251","38,750","40.9","45,828","18,145","131","970","N","N","5,200","6,727"
"    Percent","49.7%","50.3%","(X)","59.5%","23.6%","0.2%","1.3%","N","N","6.8%","8.7%"
" -> Gaston County, North Carolina","","","","","","","","","","",""
"    Estimate","114,494","122,748","39.0","158,969","44,104","1,110","3,900","N","N","11,935","17,135"
"    Percent","48.3%","51.7%","(X)","67.0%","18.6%","0.5%","1.6%","N","N","5.0%","7.2%"
" -> Guilford County, North Carolina","","","","","","","","","","",""
"    Estimate","261,330","288,536","37.8","256,758","184,039","2,964","30,334","3,415","345","26,249","49,522"
"    Percent","47.5%","52.5%","(X)","46.7%","33.5%","0.5%","5.5%","0.6%","0.1%","4.8%","9.0%"
" -> Harnett County, North Carolina","","","","","","","","","","",""
"    Estimate","70,018","71,459","36.3","84,646","25,761","538","1,332","N","N","12,984","16,216"
"    Percent","49.5%","50.5%","(X)","59.8%","18.2%","0.4%","0.9%","N","N","9.2%","11.5%"
" -> Henderson County, North Carolina","","","","","","","","","","",""
"    Estimate","58,020","61,210","48.1","95,328","3,742","972","1,708","N","N","7,536","9,944"
"    Percent","48.7%","51.3%","(X)","80.0%","3.1%","0.8%","1.4%","N","N","6.3%","8.3%"
" -> Iredell County, North Carolina","","","","","","","","","","",""
"    Estimate","99,846","99,864","40.8","146,651","21,994","78","4,336","N","N","9,390","17,261"
"    Percent","50.0%","50.0%","(X)","73.4%","11.0%","0.0%","2.2%","N","N","4.7%","8.6%"
" -> Johnston County, North Carolina","","","","","","","","","","",""
"    Estimate","120,009","121,946","38.6","154,187","41,096","2,200","2,694","N","N","20,847","20,657"
"    Percent","49.6%","50.4%","(X)","63.7%","17.0%","0.9%","1.1%","N","N","8.6%","8.5%"
" -> Lee County, North Carolina","","","","","","","","","","",""
"    Estimate","34,121","32,938","40.5","42,739","12,395","66","574","N","N","4,862","6,423"
"    Percent","50.9%","49.1%","(X)","63.7%","18.5%","0.1%","0.9%","N","N","7.3%","9.6%"
" -> Lincoln County, North Carolina","","","","","","","","","","",""
"    Estimate","47,408","48,267","44.3","80,103","5,582","0","825","N","N","2,886","6,279"
"    Percent","49.6%","50.4%","(X)","83.7%","5.8%","0.0%","0.9%","N","N","3.0%","6.6%"
" -> Mecklenburg County, North Carolina","","","","","","","","","","",""
"    Estimate","562,079","601,622","35.6","517,381","343,362","5,266","72,206","7,985","1,015","107,615","117,264"
"    Percent","48.3%","51.7%","(X)","44.5%","29.5%","0.5%","6.2%","0.7%","0.1%","9.2%","10.1%"
" -> Moore County, North Carolina","","","","","","","","","","",""
"    Estimate","51,558","55,340","44.0","82,719","7,837","569","2,218","N","N","3,537","10,018"
"    Percent","48.2%","51.8%","(X)","77.4%","7.3%","0.5%","2.1%","N","N","3.3%","9.4%"
" -> Nash County, North Carolina","","","","","","","","","","",""
"    Estimate","47,075","49,476","42.0","44,992","39,384","931","953","N","N","5,614","4,677"
"    Percent","48.8%","51.2%","(X)","46.6%","40.8%","1.0%","1.0%","N","N","5.8%","4.8%"
" -> New Hanover County, North Carolina","","","","","","","","","","",""
"    Estimate","114,658","124,194","41.3","182,524","25,392","323","3,399","1,717","0","9,187","18,027"
"    Percent","48.0%","52.0%","(X)","76.4%","10.6%","0.1%","1.4%","0.7%","0.0%","3.8%","7.5%"
" -> Onslow County, North Carolina","","","","","","","","","","",""
"    Estimate","118,543","95,133","27.8","142,663","24,355","1,968","4,255","354","286","9,055","31,249"
"    Percent","55.5%","44.5%","(X)","66.8%","11.4%","0.9%","2.0%","0.2%","0.1%","4.2%","14.6%"
" -> Orange County, North Carolina","","","","","","","","","","",""
"    Estimate","70,598","80,028","36.7","103,975","16,196","339","12,189","4,104","542","7,040","10,887"
"    Percent","46.9%","53.1%","(X)","69.0%","10.8%","0.2%","8.1%","2.7%","0.4%","4.7%","7.2%"
" -> Pender County, North Carolina","","","","","","","","","","",""
"    Estimate","34,651","33,870","40.6","53,166","6,094","694","738","N","N","3,529","4,300"
"    Percent","50.6%","49.4%","(X)","77.6%","8.9%","1.0%","1.1%","N","N","5.2%","6.3%"
" -> Pitt County, North Carolina","","","","","","","","","","",""
"    Estimate","82,730","92,389","34.1","89,820","61,317","623","4,042","N","N","9,789","9,431"
"    Percent","47.2%","52.8%","(X)","51.3%","35.0%","0.4%","2.3%","N","N","5.6%","5.4%"
" -> Randolph County, North Carolina","","","","","","","","","","",""
"    Estimate","73,364","74,094","41.2","115,471","14,127","398","415","N","N","9,933","7,114"
"    Percent","49.8%","50.2%","(X)","78.3%","9.6%","0.3%","0.3%","N","N","6.7%","4.8%"
" -> Robeson County, North Carolina","","","","","","","","","","",""
"    Estimate","56,942","60,423","35.8","28,449","27,421","45,508","1,098","N","N","7,731","7,123"
"    Percent","48.5%","51.5%","(X)","24.2%","23.4%","38.8%","0.9%","N","N","6.6%","6.1%"
" -> Rockingham County, North Carolina","","","","","","","","","","",""
"    Estimate","45,472","47,046","43.8","67,516","15,569","338","124","N","N","2,942","6,029"
"    Percent","49.1%","50.9%","(X)","73.0%","16.8%","0.4%","0.1%","N","N","3.2%","6.5%"
" -> Rowan County, North Carolina","","","","","","","","","","",""
"    Estimate","77,026","74,635","41.0","105,505","22,696","453","1,272","N","N","7,776","13,718"
"    Percent","50.8%","49.2%","(X)","69.6%","15.0%","0.3%","0.8%","N","N","5.1%","9.0%"
" -> Rutherford County, North Carolina","","","","","","","","","","",""
"    Estimate","31,371","34,136","45.9","53,176","5,924","69","108","N","N","2,143","4,027"
"    Percent","47.9%","52.1%","(X)","81.2%","9.0%","0.1%","0.2%","N","N","3.3%","6.1%"
" -> Stanly County, North Carolina","","","","","","","","","","",""
"    Estimate","32,579","33,120","41.6","52,649","5,649","0","994","N","N","1,646","3,597"
"    Percent","49.6%","50.4%","(X)","80.1%","8.6%","0.0%","1.5%","N","N","2.5%","5.5%"
" -> Surry County, North Carolina","","","","","","","","","","",""
"    Estimate","35,448","36,014","44.2","61,333","1,844","323","497","N","N","3,414","4,051"
"    Percent","49.6%","50.4%","(X)","85.8%","2.6%","0.5%","0.7%","N","N","4.8%","5.7%"
" -> Union County, North Carolina","","","","","","","","","","",""
"    Estimate","128,367","128,085","39.9","171,994","30,749","550","12,398","1,767","0","20,255","20,463"
"    Percent","50.1%","49.9%","(X)","67.1%","12.0%","0.2%","4.8%","0.7%","0.0%","7.9%","8.0%"
" -> Wake County, North Carolina","","","","","","","","","","",""
"    Estimate","582,915","607,360","37.7","682,601","223,887","3,565","104,741","13,802","683","66,851","108,269"
"    Percent","49.0%","51.0%","(X)","57.3%","18.8%","0.3%","8.8%","1.2%","0.1%","5.6%","9.1%"
" -> Wayne County, North Carolina","","","","","","","","","","",""
"    Estimate","57,404","61,282","37.4","61,724","35,917","230","1,883","N","N","1,186","17,746"
"    Percent","48.4%","51.6%","(X)","52.0%","30.3%","0.2%","1.6%","N","N","1.0%","15.0%"
" -> Wilkes County, North Carolina","","","","","","","","","","",""
"    Estimate","32,731","33,282","45.9","57,395","2,100","117","120","N","N","3,170","3,111"
"    Percent","49.6%","50.4%","(X)","86.9%","3.2%","0.2%","0.2%","N","N","4.8%","4.7%"
" -> Wilson County, North Carolina","","","","","","","","","","",""
"    Estimate","37,719","41,251","41.2","36,971","30,058","171","314","N","N","6,388","5,068"
"    Percent","47.8%","52.2%","(X)","46.8%","38.1%","0.2%","0.4%","N","N","8.1%","6.4%"
" -> Burleigh County, North Dakota","","","","","","","","","","",""
"    Estimate","50,922","49,090","38.7","86,595","970","6,304","365","N","N","774","4,994"
"    Percent","50.9%","49.1%","(X)","86.6%","1.0%","6.3%","0.4%","N","N","0.8%","5.0%"
" -> Cass County, North Dakota","","","","","","","","","","",""
"    Estimate","99,299","97,063","32.6","161,121","13,889","1,099","5,691","706","74","1,861","12,701"
"    Percent","50.6%","49.4%","(X)","82.1%","7.1%","0.6%","2.9%","0.4%","0.0%","0.9%","6.5%"
" -> Grand Forks County, North Dakota","","","","","","","","","","",""
"    Estimate","36,125","36,583","30.8","60,078","2,627","972","1,781","N","N","1,157","6,078"
"    Percent","49.7%","50.3%","(X)","82.6%","3.6%","1.3%","2.4%","N","N","1.6%","8.4%"
" -> Ward County, North Dakota","","","","","","","","","","",""
"    Estimate","35,409","32,923","34.4","54,897","2,642","1,298","1,332","N","N","1,495","6,668"
"    Percent","51.8%","48.2%","(X)","80.3%","3.9%","1.9%","1.9%","N","N","2.2%","9.8%"
" -> Allen County, Ohio","","","","","","","","","","",""
"    Estimate","50,880","49,958","40.1","80,978","8,927","230","889","N","N","1,204","8,610"
"    Percent","50.5%","49.5%","(X)","80.3%","8.9%","0.2%","0.9%","N","N","1.2%","8.5%"
" -> Ashtabula County, Ohio","","","","","","","","","","",""
"    Estimate","49,795","47,050","43.3","85,594","3,937","0","470","N","N","1,787","5,057"
"    Percent","51.4%","48.6%","(X)","88.4%","4.1%","0.0%","0.5%","N","N","1.8%","5.2%"
" -> Belmont County, Ohio","","","","","","","","","","",""
"    Estimate","33,549","31,369","44.8","58,440","2,063","142","272","N","N","567","3,434"
